Title (News Shots) ,ID,Date
Celyad Announces Successful Dosing of CYAD-01 IV in P-I THINK Trial for the Treatment of mCRC,578,05-09-2018
Dynavax Reports Preclinical Study Publication of TLR9 Agonist for Treatment of Lung Cancer,579,05-09-2018
Janssen Files NDA for Esketamine Nasal Spray to the US for treatment-resistant depression,580,05-09-2018
Merck's Keytruda sBLA Receives FDA Priority Review for Treatment of Locally Advance or mMCC,581,04-09-2018
Redx Pharma Receives MHRA's Positive Response for Restarting its P-I/IIa RXC004 study,582,04-09-2018
"NMPA, China Accepts NDA for BeiGene &amp; Boehringer BioChina's Tislelizumab for the treatment of r/r cHL",583,04-09-2018
NovellusDx collaborates with Primetech as an Exclusive Supplier in Japan,584,04-09-2018
Sanofi's Cablivi Receives EU Marketing Approval for the Treatment of Acquired Thrombotic Thrombocytopenic Purpura (aTTP),585,03-09-2018
Group of Dutch Doctors &amp; Advocates Stand up Against Leadiant Biosciences' 500 Times Drug Price Rise,586,03-09-2018
Novartis Plans to Align its Production with Expected Lower Prices in the US,588,03-09-2018
Pfizer Terminates Domagrozumab trial for the treatment of Duchenne muscular dystrophy,589,31-08-2018
MedImmune (AZ) reports results of TULIP 1 P-III for anifrolumab in systemic lupus erythematosus,590,31-08-2018
FDA Reports Newly Added Guidelines for Drug and Device Makers,591,31-08-2018
Vertex and Genomics plc forms a three-year collaboration extendable up to five years for Precision Medicines,592,31-08-2018
BMS's Sprycel (dasatinib) sBLA Receives Positive Response from the US FDA,593,30-08-2018
AstraZeneca's Bydureon BCise Receives EU approval Once-Weekly Prefilled Syringe for Type2 Diabetes,594,30-08-2018
Roche's Hemlibra P-III Positive results for Haemophilia A without factor VIII being published in NEJM,595,30-08-2018
"Amgen's BLINCYTO (blinatumomab, BiTE) Receives EU Expanded approval for pediatric 2L+ B-cell-ALL",596,30-08-2018
Xenon Pharmaceutical Reports Positive Results of XEN1101 P-1b TMS (transcranial magnetic stimulation) study,597,29-08-2018
Emergent BioSolutions to Acquire Adapt Pharma with Narcan (naloxone HCl) Nasal Spray,598,29-08-2018
Alcon Announces Global Removal of CyPass Micro-Stent for Surgical Glaucoma,599,29-08-2018
"NICE, UK Rejects Gilead's Yescarta for Being Too Expensive",600,29-08-2018
Biogen and Eisai Reports Results of Long-Term Extension P-Ib study for aducanumab,601,28-08-2018
Affimed Formed a Research Collaboration with Genentech for Novel NK Cells,602,28-08-2018
Pfizer Announces Tafamidis P-III Transthyretin Cardiomyopathy (ATTR-ACT) study results,603,28-08-2018
AbbVie Receives US FDA Approval for Imbruvica plus Rituximab for the treatment of WaldenstrÃ¶m's macroglobulinemia (WM),604,28-08-2018
Novartis's Kymriah Receives EU Approval,605,27-08-2018
Abbott India Plans to Launch 100 products in next 5 years,606,27-08-2018
Kite's Yescarta Receives EU Marketing Approval,607,27-08-2018
Eisai's and Merck Announces EU's Marketing Approval of Lenvima (lenvatinib mesylate) for Hepatocellular carcinoma,609,25-08-2018
"Novartis's Solar-1 trial BYL719 (PI3Ki, alpelisib) meets primary endpoints in advanced or mBC patients",610,24-08-2018
AstraZeneca announces Results of AERISTO P-IIIb trial for Bevespi Aerosphere in COPD patients,611,24-08-2018
Shire's Takhzyro (lanadelumab-flyo) Receives FDA Approval Novel Hereditary Angioedema (HAE) in Age â‰¥12yrs,612,24-08-2018
Bluebird Bio and Gritstone Oncology signs a Research Collaboration,613,23-08-2018
Pfizer to co-promote Exact Sciences' Cologuard,614,23-08-2018
AbbVie Exercises Exclusive Option to License Argenx's ARGX-115,615,23-08-2018
Pfizer and Astellas Amends Clinical Research Protocols of Xtandi for 2 Phase III to treat Hormone-Sensitive Prostate Cancer (HSPC),616,23-08-2018
Sierra Oncology Acquires Gilead's Momelotinib to Treat Myelofibrosis for ~$198M,617,22-08-2018
"Congo Approves Experimental Ebola Treatments by Gilead, Mapp, Toyama Chemical and Regeneron",618,22-08-2018
Evotec and Novo Nordisk forms collaboration to develop novel small molecule therapies,619,22-08-2018
GSK Looking to Sell its Indian Consumer Health Unit for ~$4B,620,22-08-2018
Kyowa Annouces Ph IIa Results of KW-6356 for Parkinson's Disorder at IAPRD,621,21-08-2018
Bio-Thera Announces BLA Acceptance of Humira's Biosimilar (BAT1406) by China National Drug Administration (CNDA),622,21-08-2018
Harbour Annouces Global Partnership with Kelun-Biotech to Develop and Commercialize A167 (Anti-PD-L1 mAb),623,21-08-2018
Roche's AlecensaÂ® (alectinib) Receives CFDA Priority Review for 1L ALK +ve mNSCLC,624,21-08-2018
"Merck's Keytruda (pembrolizumab) Receives Expanded Label Approval for 1L nonsq. mNSCLC, with No EGFR and ALK Genomic Tumor",625,21-08-2018
Organogenesis Reverse Merges with Avista Healthcare Public Acquisition Corp. (AHPAC),626,20-08-2018
Principia Biopharma files for Initial Public Offering in the US,627,20-08-2018
Bristol-Myers's Opdivo (nivolumab) Receives FDA Priority Review for 2L+ Patients with SCLC in ~20 yrs,628,17-08-2018
Eisai and Merck Annouces the US FDA Approval of Lenvima for Unresectable 1L Hepatocellular Carcinoma (HCC),629,17-08-2018
Nordisk Acquires Ziylo's Glucose Binding Platform to Expand its Glucose Responsive Insulins,630,17-08-2018
Teva Receives US FDA Approval for Generic Version of Epipen Auto-Injector,631,17-08-2018
Pfizer partners with BioNTech to develop vaccine for Influenza for $425M,632,16-08-2018
Depomed changes name to Assertio Therapeutics,633,16-08-2018
Mylan quietly acquired undisclosed WW rights of a product for $463mn in July'18,634,16-08-2018
Inova Diagnostic's HMGCR Antibody detection test Approved by the US FDA,635,14-08-2018
Medtronic Launches Inner Circle Patient Engagement Program using Gamification to Motivate and Engage Diabetic Patients,636,14-08-2018
Mustang Bio Licenses Gene Therapy from St. Jude Children Hospital to treat X-SCID (bubble boy) in newborns,637,14-08-2018
Amicus's Galafold (migalastat) Receives FDA Approval for Treating Fabry Disease after 15 yrs,638,13-08-2018
"FDA Approves Onpattro, a Novel RNAi Therapeutic to Treat Polyneuropathy in Adults",639,13-08-2018
Genentech's Xolair Receives FDA's Breakthrough Therapy Designation for Food Allergies,640,13-08-2018
Astellas Announces Acquisition of Quethera's Ophthalmic Gene Therapy Program,641,13-08-2018
Celltrion's Bevacizumab Biosimilar (CT-P16) Enters into Global Phase III Clinical trial for Treating Colorectal Cancer,642,10-08-2018
JHL Biotech's Trastuzumab Biosimilar (JHL1188) Receives CHMP Positive Scientific Advice to Treat Breast Cancer,643,10-08-2018
Perrigo to Separate its Prescription Pharmaceutical Business,644,09-08-2018
60 Degree Pharma Receives U.S. FDA Approval for ARAKODA (tafenoquine) tablets for Treating Malaria,645,09-08-2018
UCB Partners with MyHealth Teams to boost up Spondyloarthritis social network,646,08-08-2018
FDA approves IV Poteligeo for Treating Two Rare types of Cutaneous T cell lymphoma (CTCL),647,08-08-2018
First Generic approved by FDA using Competitive Generic Pathway (CGT) to Foster Competition for sole source drugs,648,08-08-2018
Ironwood Terminated Rights of Zurampic lesinurad and Duzallo lesinurad/allopurinol Deal with AZ,649,07-08-2018
BioLineRx Annouces Positive Results for Phase 3 GENESIS Trial in Stem-Cell Mobilization,650,07-08-2018
Mallinckrodt forms 5yrs Collaboration with Washington University for Rare Disease,651,07-08-2018
J&amp;J acquired global co-development and Commercialization rights of experimental myeloma gene therapy from a Chinese Start-up Nanjing Legend Biotechnology,652,06-08-2018
Bluebird bio and Regeneron Announce R&amp;D and Commercialization Collaboration for Novel Cancer Immune Cell Therapies,653,06-08-2018
PharmaMar's Lurbinectedin Granted as Orphan drug designation by U.S. FDA for Small Cell Lung Cancer(SCLC),654,03-08-2018
Celltrion's Herzuma (Herceptin biosimilar) Receives Marketing Approval in Australia,655,03-08-2018
CHMP issues positive opinion to expand INVOKANA &amp; VOKANAMET labels to include positive data on cardiovascular(CV) &amp; renal outcomes,656,03-08-2018
Lilly's spinoff Elanco Animal Health files IPO,657,03-08-2018
MYALEPTAÂ® (metreleptin) receives marketing approval by EU for leptin deficiency in lipodystrophy (LD) Patients,658,02-08-2018
Laekna Acquires Exclusive WW Rights of Two Oncology Clinical Stage Candidates from Novartis,659,02-08-2018
Novo Nordisk launches Ozempic DTC campaign for type 2 Diabetes,660,02-08-2018
"Pfizer Receives EU Approval for Xeljanz (tofacitinib citrate, JAK3i) for Moderate to Severe UC Patients",661,01-08-2018
Leo Pharma is acquiring Bayer's dermatology unit with 450 employees,662,01-08-2018
Shionogi's Mulpleta (lusutrombopag) Receives FDA Approval for Chronic Liver Patients in Adults,663,31-07-2018
"Pfizer receives EU approval for Trazimera(Trastuzumab), the First Oncology Biosimilar",664,31-07-2018
Pernix Therapeutics Buys Orexigen's Contrave for $73.5Mn,665,30-07-2018
"Progenies Receives FDA approval of first-and-only Azerda (iobenguane I 131) to treat Unresectable, LA/M Pheochromocytoma/Paraganglioma",666,30-07-2018
Novartis Announces the EU Approval of first-in-class AimovigÂ®ï¸(erenumab) for Migraine Prevention,667,30-07-2018
BioLineRx Annouces Expansion of 2016 Collaboration with Merck&amp;Co. in Immuno-Oncology in pancreatic cancer,668,30-07-2018
Lilly Announces an Extension to 2015 Research Collaboration deal with Dana Farber Cancer Institute,669,30-07-2018
Sun Pharma to Recall 2500 bottles of Riomet from Arizona,670,30-07-2018
ChemBio Annouces the Collaboration with FIND Moving to Development of HCV Point-Of-Care Diagnostic-Test,671,28-07-2018
Imfinzi (durvalumab) Receives Positive CHMP Opinion in EU for PD-L1 expressing LA NSCLC patients,672,27-07-2018
Immunotherapy Keytruda Exceeds Opdivo in Q2 sales,673,27-07-2018
Dr. Reddy Launched Hervycta (biosimilar Trastuzumab) in India,674,26-07-2018
AstraZeneca Fails to Prove the Drug Selumetinib for Thyroid cancer,675,26-07-2018
GSK Signed a Multiyear Exclusive Collaborative Agreement with 23andMe to use Genetic Databases to Develop Novel Therapies.,676,25-07-2018
J&amp;J India to Pay Compensation of ~$28K per Patient for Faulty Hip Implant,713,05-09-2018
Novartis divests part of Sandoz US Genercis as well as US dermatology business to Aurobindo Pharma for $0.9B,727,06-09-2018
