S.No.,Product,CompanyName
1,"CYAD-01,CYAD-09,CYAD-02,CYAD-05","Celyad,Celyad2"
2,SD-101,Dynavax
3,Esketamine,Janssen Pharmaceuticals
4,"KEYTRUDA, Pembrolizumab",Merck & Co. 
5,RXC-004,Redx Pharma
6,Tislelizumab,"Boehringer Ingelheim, BeiGene"
7,,"NovellusDx, PrimeTech"
8,"CABLIVI, Caplacizumab",Sanofi
9,,Leadiant Biosciences
10,,Novartis
11,"Domagrozumab, Pf-06252616",Pfizer
12,Anifrolumab,MedImmune
13,,FDA
14,,"Vertex, Genomics"
15,"SPRYCEL, Dasatinib",BMS
16,BYDUREON BCise,AstraZeneca
17,HEMLIBRA,Roche
18,"BLINCYTO, blinatumomab",Amgen
19,XEN-1101,Xenon
20,"NARCAN
",Adapt Pharma (Emergent BioSolutions)
21,CyPass Micro-Stent,Alcon
22,YESCARTA ,Gilead
23,Aducanumab,"Biogen, Eisai"
24,,"Affimed, Genentech"
25,Tafamidis,Pfizer
26,Imbruvica,AbbVie
27,"KYMRIAH, Tisagenlecleucel",Novartis
28,,Abbott
29,YESCARTA,Kite Pharma
30,"LENVIMA, Lenvatinib","Eisai, Merck & Co. "
31,"BYL-719, Alpelisib",Novartis
32,BEVESPI AEROSPHERE,AstraZeneca
33,"TAKHZYRO, Lanadelumab-flyo",Shire
34,,"bluebird bio, Gritstone Oncology"
35,Cologuard,"EXACT Sciences, Pfizer"
36,ARGX-115,"Argenx, AbbVie"
37,"XTANDI, Enzalutamide","Pfizer, Astellas"
38,Momelotinib,"Sierra Oncology, Gilead "
39,,"Gilead, Mapp Biopharmaceutical, Regeneron,Toyama Chemical"
40,,"Evotec, Novo Nordisk"
41,,GSK
42,KW-6356,Kyowa Kirin
43,"HUMIRA, Adalimumab",Bio-Thera Solutions
44,A-167,"Harbour BioMed, Kelun-Biotech"
45,"ALECENSA, Alectinib Hydrochloride",Roche
46,"KEYTRUDA, Pembrolizumab",Merck & Co. 
47,,"Organogenesis, AHPAC"
48,"PRN-1008, PRN-1371",Principia Biopharma
49,"OPDIVO, Nivolumab",BMS
50,"LENVIMA, Lenvatinib","Eisai, Merck & Co. "
51,,Ziylo (Novo Nordisk)
52,EPIPEN JR,Teva
53,Influenza Vaccine,"Pfizer, BioNTech"
54,,Assertio Therapeutics
55,,Mylan
56,QUANTA Flash,Inova Diagnostics
57,,Medtronic
58,,"Mustang Bio, St. Jude Children Hospital"
59,"GALAFOLD, Migalastat",Amicus
60,ONPATTRO,Alnylam
61,"XOLAIR, Omalizumab",Genentech
62,,Quethera (Astellas)
63,"Bevacizumab Biosimilar, CT-P16",Celltrion Healthcare
64,"Trastuzumab biosimilar, JHL-1188",JHL Biotech
65,,Perrigo
66,"ARAKODA, Tafenoquine",60 Degree Pharma
67,,"UCB, MyHealthTeams"
68,"POTELIGEO, Mogamulizumab-kpkc",Kyowa Kirin
69,POTASSIUM CHLORIDE Solutions,Apotex
70,"ZURAMPIC Lesinurad, DUZALLO Lesinurad","Ironwood, AstraZeneca"
71,BL-8040,BioLineRx
72,,"Mallinckrodt, Washington University School of Medicine in St. Louis"
73,,"J&J, Nanjing Legend Biotechnology"
74,,"bluebird bio, Regeneron"
75,"Lurbinectedin, PM-1183",PharmaMar
76,"HERZUMA, HERCEPTIN",Celltrion
77,"INVOKANA, VOKANAMET",Janssen Pharmaceuticals
78,,"Eli Lilly, Elanco "
79,"Myalepta,metreleptin",Novelion Therapeutics
80,"Afuresertib, ASB183, Uprosertib, UPB795","Laekna, Novartis"
81,OZEMPIC,Novo Nordisk
82,XELJANZ,Pfizer
83,,"LEO Pharma, Bayer"
84,"MULPLETA, Lusutrombopag",Shionogi
85,TRAZIMERA,Pfizer
86,CONTRAVE,"Pernix Therapeutics, Orexigen"
87,"AZEDRA, Iobenguane I 131",Progenics
88,"AIMOVIG, Erenumab",Novartis
89,BL-8040 + KEYTRUDA,"BioLineRx, Merck & Co. "
90,,"Eli Lilly, Dana-Farber Cancer Institute"
91,"RIOMET, Metformin Hydrochloride",Sun Pharma 
92,,Chembio
93,"IMFINZI, Durvalumab","AstraZeneca, MedImmune"
94,"KEYTRUDA, BAVENCIO  ","Merck & Co., Pfizer, Merck KGaA"
95,"Hervycta, Trastuzumab",Dr. Reddy's
96,Selumetinib,AstraZeneca
97,,"GSK, 23andMe"
98,,J&J
99,,"Novartis, Sandoz US, Aurobindo Pharma"
100,Filgotinib,"Gilead,Galapagos"
101,Laquinimod,"Active Biotech, Teva"
102,,"Shire, Sanaplasma"
103,Monoferric,Pharmacosmos
104,Tezepelumab,AstraZeneca
105,"Lifirafenib, BGB-283 (BeiGene) PD-0325901 (SpringWorks)","BeiGene, SpringWorks"
106,,"Mylan,Novartis"
107,"Cabometyx, Cabozantinib",Exelixis
108,HyNap-Dasa,Xspray Pharma
109,KEYTRUDA,Merck & Co. 
110,"NUCALA, Mepolizumab (GSK) FASENRA, Benralizumab (AZ) CINQAIR, Reslizumab (Teva)","GSK, AstraZeneca, Teva"
111,,Elevian
112,ASPIRIN,Medtronic
113,"ZERBAXA, Ceftolozane + Tazobactam",Merck & Co. 
114,Filgotinib,"Gilead,Galapagos"
115,,Novartis
116,"PRALUENT, Alirocumab","Regeneron, Sanofi"
117,VEYVONDI,Shire
118,,"Gilead,Precision BioSciences"
119,,"Boehringer Ingelheim, ViraTherapeutics"
120,"OTEZLA, Apremilast",Celgene
121,EYLEA,Regeneron
122,PH-94B,"VistaGen, Pherin Pharmaceuticals"
123,WP-1066,Moleculin Biotech
124,"EB-001A, EB-001T","Allergan, Bonti"
125,"AJOVY, Fremanezumab",Teva
126,,"Institut Curie, Honing Biosciences"
127,,"Leo Pharma,MorphoSys"
128,"FASENRA, Benralizumab",AstraZeneca
129,,"Pfizer, Atomwise"
130,MOB-015,"Cipher, Moberg Pharma"
131,"Ilumetri, Tildrakizumab","Sun Pharma, Almirall"
132,,Novo Nordisk
133,,"Cancer Genetics, NovellusDx"
134,Wearable Skin Sensors,"LEO Science,Tech Hub,Epicore Biosystems"
135,ETBs,"Takeda, Molecular Templates"
136,,Hironic
137,"HULIO, Adalimumab Biosimilar","Myla,Fujifilm Kyowa Kirin Biologics"
138,,"Medtronic, Mazor Robotics"
139,,"Amicus Therapeutics, Celenex"
140,Pegfilgrastim Biosimilar,Sandoz
141,BAY94-9027,Bayer
142,"ILUMYA, Tildrakizumab",Sun Pharma
143,,"Enesi Pharma, Walter Reed"
144,"EPCLUSA, HARVONI, Sofosbuvir, Velpatasvir, Ledipasvir","Gilead, Asegua Therapeutics"
145,,"Mylan, Atomo Diagnostics"
146,"BLINCYTO, Blinatumomab","Amgen, Astellas"
147,"Eftilagimod Alpha, Avelumab","Immutep, Merck KGaA, Pfizer"
148,,"StemCell, Brigham and Women's Hospital"
149,"Quillivant XR, QuilliChew ER ","Tris Pharma, NextWave (Pfizer)"
150,"COPIKTRA, Duvelisib","CSPC Pharmaceutical Group, Verastem Oncology"
151,,"Agilent,Acea Biosciences"
152,SYNT-001,"Alexion, Syntimmune"
153,LYR-210,"Lyra Therapeutics, Innovative Therapeutics"
154,"SB-5, Adalimumab Biosimilar",Samsung Bioepis
155,"EMGALITY, Galcanezumab-gnlm",Eli Lilly
156,,"Novartis, Cellular Biomedicine"
157,Imetelstat,"Janssen Biotech, Geron"
158,"DOPTELET, Avatrombopag","Salix, Dova Pharmaceuticals (SOBI)"
159,"VIZIMPRO, Dacomitinib, Gefitinib",Pfizer
160,,"Tusk Therapeutics,Roche"
161,,Teva
162,Novexatin,"Taro Pharmaceutical, NovaBiotics"
163,,"Hologic, Focal Therapeutics Inc."
164,NY-ESO-1,"GSK, Hitachi Chemical"
165,ARIKAYCE KIT,Insmed
166,TriNKETs,"Merck & Co., Dragonfly"
167,"ONPATTRO, Patisiran",Alnylam
168,"LYS-228, IID572","Novartis, Boston Pharmaceuticals"
169,BIKTARVY,Gilead
170,,"Celyad, Horizon Discovery"
171,LY-3298176,Eli Lilly
172,HEMLIBRA,Roche
173,ARO-HBV,"Janssen Pharmaceuticals, Arrowhead Pharma"
174,"Siponimod, BAF-312",Novartis
175,"ORILISSA, Elagolix",AbbVie
176,GARDASIL 9,Merck & Co. 
177,"LIBTAYO, Cemiplimab",Regeneron
178,"OTEZLA, Apremilast",Celgene
179,,Roche
180,PENTHROX,"MVP, Daiichi "
181,"OCREVUS, Ocrelizumab",Roche
182,"Crizanlizumab, SEG-101",Novartis
183,,GLyPharma  (Therachon)
184,"JARDIANCE, Empagliflozin","Eli Lilly, Boehringer Ingelheim"
185,"CT-P10, Rituximab","Celltrion,Teva"
186,IONIS-FB-LRx,"Roche, Ionis Pharma"
187,"PELMEG, Pegfilgrastim Biosimilar","Mundipharma, Cinfa Biotech"
188,"Humira, Adalimumab","Sandoz,AbbVie"
189,,"Eli Lilly, Metastatic Breast Cancer Advocates"
190,,Roche 
191,Lusduna Nexvue ,"Merck & Co., Samsung Bioepis"
192,"KADCYLA, Ado-Trastuzumab Emtansine",Roche
193,LYS-SAF-302,"Sarepta, Lysogene"
194,"Amgevita, Adalimumab",Amgen
195,"COSENTYX, Secukinumab Biosimilar",Novartis
196,,Google
197,"Lynparza, Olaparib",AstraZeneca
198,"Dupixent, Dupilumab",Regeneron
199,,"Ferring,Evotec"
200,"VY-HTT01, VY-SOD102",Voyager Therapeutics
201,"Imraldi, Adalimumab","Samsung, Biogen"
202,"Ac-PSMA-617, Lu-PSMA-617","Novartis, Endocyte"
203,"AXS-12, Reboxetine",Axsome Therapeutics
204,Ubrogepant,Allergan
205,Lonafarnib + Ritonavir,Eiger
206,"INVOKANA, canagliflozin",Janssen Pharmaceuticals
