Title (News Shots),Categories,Date
?GSK to Collaborate with Pfizer to Build a Consumer Healthcare Joint Venture,Biosimilars|Biotech,13-11-2020
Celltrion's Bevacizumab Biosimilar (CT-P16) Enters into Global Phase III Clinical trial for Treating Colorectal Cancer,Biosimilars|Pharma,#N/A
JHL Biotech's Trastuzumab Biosimilar (JHL1188) Receives CHMP Positive Scientific Advice to Treat Breast Cancer,Biosimilars|Pharma,#N/A
Celltrion's Herzuma (Herceptin biosimilar) Receives Marketing Approval in Australia,Biosimilars|Pharma,#N/A
"Pfizer receives EU approval for Trazimera(Trastuzumab), the First Oncology Biosimilar",Biosimilars|Pharma,#N/A
Dr. Reddy Launched Hervycta (biosimilar Trastuzumab) in India,Biosimilars|Pharma,#N/A
Novartis divests part of Sandoz US Genercis as well as US dermatology business to Aurobindo Pharma for $0.9B,Biosimilars|Pharma,#N/A
Allergen Announces Acquisition of Bonti for its Two Aesthetic and Therapeutic Products,M&A|Pharma,#N/A
Mylan Receives EU Marketing Approval for Adalimumab Biosimilar “Hulio”,Biosimilars|Biotech|Regulatory,#N/A
Amicus Therapeutics Acquires Celenex for its Ten Gene Therapy Programs,Biosimilars|M&A,#N/A
Sandoz's Biosimilar Pegfilgrastim Receives CHMP Approval for Febrile Neutropenia,Biosimilars|Regulatory,#N/A
Samsung Bioepis' BLA for SB5 Adalimumab Biosimilar Accepted for Review by the US FDA,Biosimilars|Biotech|Regulatory,#N/A
"Celltrion and Teva Announces Approval Recommendations for CT-P10's (rituximab, biosimilar) BLA from the US FDA ODAC",Biosimilars|Regulatory,#N/A
Mundipharma Acquires Cinfa Biotech for Expansion of its Biosimilar Portfolio,Biosimilars|M&A,#N/A
Sandoz Signs a Non-Exclusive License Agreement with AbbVie for IPR of its Humira (adalimumab) for Major EU Countries,Biosimilars|Biotech,#N/A
Merck Terminates Development and Commercialization Deal with Samsung Bioepis for Lusduna Nexvue (insulin glargine),Biosimilars|Pharma,#N/A
"Amgen Launches Amgevita (adalimumab, biosimilar) in EU to Treat Inflammatory Diseases post EMA Approval in Feb 2017",Biosimilars|Biotech,#N/A
"Samsung Biogen Launches Imraldi (adalimumab, biosimilar) in EU for 14 Autoimmune Conditions",Biosimilars|Biotech,#N/A
Novartis to Acquire Endocyte for Expansion of its Investigational Radioligand Therapy (RLT) Platform,M&A,#N/A
Axsome Therapeutics Receives FDA's Orphan Drug Designation for AXS-12 (reboxetine) to Treat Narcolepsy,Regulatory,#N/A
Allergan Announces Completion of UBR-MD-04 &amp; 3110-105-002 Study for Treatment of Migrane,Pharma,#N/A
Eiger Pharmaceuticals Reports Results of Lambda in P-II LIMT (Lambda MonoTx) Study in Hepatitis Delta Virus (HDV) Infection,Biotech,#N/A
Janssen Pharmaceuticals (J&amp;J) Receives Health Canada's Approval for Invokana (canagliflozin) in MACE Reduction,Regulatory,#N/A
Mylan Launches MPA Injectable Suspension for Prevention of Pregnancy in the US,Biotech,#N/A
Abbott Receives FDA's Approval for its HeartMate 3 Left Ventricular Assist Device (LVAD) in Patients with Advance Heart Failure,MedTech,#N/A
Roche Reports Results of P-III IMpower130 study of Tecentriq (atezolizumab) for 1L Treatment in Advance NSCLC,Biotech,#N/A
AstraZeneca &amp; Merck Reports P-III SOLO-1 Trial Results of Lynparza (olaparib) for 1L+ Treatement in Advance BRCAm Ovarian Cancer at ESMO18,Biotech,#N/A
Biogen and UCB Reports Results of Dapirolizumab Pegol (DZP) in A P-IIb study for Systemic Lupus Erythematosus (SLE),Pharma,#N/A
Novartis Reports Publication of P-IIIb LIBERTY study's Results of Aimovig (erenumab) in The Lancet,Pharma,#N/A
Astrazeneca Expands Existing Deal with Innate Pharma to Strengthen its Oncology Pipeline,Pharma,#N/A
Lilly Reports Results of Taltz (ixekizumab) in P-III COAST-V and COAST-W trials for Ankylosing Spondylitis (AS),Biotech,#N/A
Alcon (Novartis Division) Plans to Develop SMART Suite Equipment for Improved Cataract Surgery,DigiHealth,#N/A
Omeros' OMS721 Receives FDA's ODD to Treat Hematopoietic Stem Cell Transplant-Associated Thrombotic Microangiopathy (HSCT-TMA),Regulatory,#N/A
"Takeda Globally Signs Licensing, Co-Development &amp; Co-Promotion Agreement with Enterome for its EB8018 Candidate",Pharma,#N/A
LEO Pharma Signs License and Research Collaboration with Zymeworks to Develop Novel Bispecific Abs,Pharma,#N/A
"Amgen Collaborates with Orion for Commercialization of Amgevita (adalimumab, biosimilar) in Finland",Biosimilars|Biotech,#N/A
Orion's Darolutamide Achieves 1EP in P-III ARAMIS study in Men with Non-Metastatic Castration-Resistant Prostate Cancer (nmCRPC),Biotech,#N/A
Pfizer Reports Improved Results of P-III OA (A4091056) Study of Tanezumab in Patients with Osteoarthritis (OA),Biotech,#N/A
"Axovant Reports Dosing of its First Patient in AXO-Lenti-PD study for Parkinson's Disease at NIHR, UCLH",Biotech,#N/A
AstraZeneca Reports Results of Lokelma (sodium zirconium cyclosilicate) in P-III HARMONIZE trial in Patients with Hyperkalaemia,Pharma,#N/A
"Seattle Genetics Reports Multiple Results of Adcetris (Brentuximab Vedotin) in P-III ECHELON-1, P-I/II, P-II and P-III AETHERA study in Patients with Hodgkin Lymphoma at ISHL 2018",Biotech,#N/A
Esperion Reports Results of Bempedoic Acid in P-III Study 2 or 1002-047 for Patients with ASCVD or HeFH,Biotech,#N/A
Novartis &amp; Pfizer Enter into a Clinical Development Collaboration to Treat Non-Alcoholic Steatohepatitis (NASH),Pharma,#N/A
ProQR Signs Exclusive Worldwide License Agreement with Ionis for IONIS-RHO-2.5 Candidate (now QR-1123),Biotech,#N/A
Jazz Receives FDA Approval for Xyrem's (sodium oxybate) sNDA to Treat Cataplexy or Excessive Daytime Sleepiness in Pediatric Patients with Narcolepsy,Regulatory,#N/A
AstraZeneca Divests Rights of its Nexium and Vimovo Product to Grunenthal,Pharma,#N/A
Astellas' Xtandi (enzalutamide) Receives EU's Approval for Men with High-Risk Non-Metastatic Castration-Resistant Prostate Cancer (nmCRPC),Pharma,#N/A
