Title (News Shots) ,ID,Date,
Pharmashots Interview: Paula Ragan Shares Insights on the Data of Mavorixafor in Combination with Ibrutinib Presented at 2021 EHA Annual Congress,65600,15-10-2021,
PharmaShots Interview: Abbott's Michael Dale Shares Insight on the CE Mark for the Next-Generation Navitor TAVI System,64183,03-09-2021,
PharmaShots Interview: Abbott's Suela Sulo Shares Insights on the Model of Care Addressing Malnutrition Across the Continuum of Care,65442,13-10-2021,
PharmaShots Interview: Accenture’s Rich Birhanzel Shares Insight on the Investment in ixlayer,65835,22-10-2021,
PharmaShots Interview: Adaptimmune's Dennis Williams Shares Insight About the Company's Pathway to Bringing the First-Ever TCR T-Cell Therapy for Solid Tumors to Market,63483,16-08-2021,
PharmaShots Interview: BMS' Dr. Ian Waxman Shares Insights on the Opdivo (nivolumab) + Yervoy (ipilimumab) for dMMR or MSI-H mCRC,64903,28-09-2021,
PharmaShots Interview: CTMA’ Dr. Pierre Pellier Shares Insight on CT-SCOUT to Detect Patients for Clinical Trials in IBD,65403,11-10-2021,
PharmaShots Interview: Cue Biopharma’s Anish Suri Shares Insights on the Data of CUE-401 Presented at 2021 FOCIS Annual Meeting,65559,15-10-2021,
PharmaShots Interview: Dr. Krishnansu S. Tewari and Israel Lowy Share Insight on P-III Data of Libtayo Presented at ESMO Virtual Plenary,62786,28-07-2021,
PharmaShots Interview: Dr. Philip Mease Shares Insights on the Clinical data of Tremfya (guselkumab) Presented in The Lancet Rheumatology,64721,22-09-2021,
PharmaShots Interview: Durect's James E. Brown Shares Insight on the Data of DUR-928 Presented at EASL 2021,64682,20-09-2021,
PharmaShots Interview: Eli Lilly's Dr. Lotusâ€¯Mallbris Shares Insight on the Data of Taltzâ€¯andâ€¯Olumiant Presented at EULAR 2021,62958,02-08-2021,
PharmaShots Interview: Guardant Health's Justin Odegaard Shares Insight on the US FDA's Approval of Guardant360 CDx for Amgen's Lumakras,62846,29-07-2021,
PharmaShots Interview: Janssen's Andrew Greenspan Shares Insight About the New AGA Guidelines Recommending Stelara (Ustekinumab) as a First-Line Treatment Option in Crohn's Disease,63534,17-08-2021,
PharmaShots Interview: Janssen's Jan Wehkamp Shares Insight on the Data from UNIFI Study of Stelara Presented at ECCO,63259,09-08-2021,
PharmaShots Interview: Kaia Health's Konstantin Mehl Shares Insight on the Funding to Transform the Treatment for MSK and COPD,63320,11-08-2021,
PharmaShots Interview: Portage Biotech's Dr. Ian Walters Shares Insight on the Data of INT230-6 Presented at ASCO 2021,64437,13-09-2021,
PharmaShots Interview: Prime Therapeutics' Kelly Pokuta and April Kunze Share Insight on Medical Drug Management Program,63057,03-08-2021,
PharmaShots Interview: Prothena’s Brandon Smith Shares Insight on the Acquisition of Prothena and Novo Nordisk,65640,15-10-2021,
PharmaShots Interview: Rain Therapeutic's Avanish Vellanki Shares Insight on the Initiation of P-III MANTRA Trial of Milademetan for Dedifferentiated Liposarcoma,63705,23-08-2021,
PharmaShots Interview: Recce Pharmaceuticals' James Graham Shares Insight on the P-I/II Clinical Trial of RECCE 327 (R327) for Infected Burn Wounds,64479,14-09-2021,
PharmaShots Interview: Revolo's Jonathan Rigby Shares Insights on the â€˜1104 for Eosinophilic Esophagitis,63574,18-08-2021,
PharmaShots Interview: Saniona's Rami Levin Shares Insight on Tesomet for Hypothalamic Obesity,63905,27-08-2021,
PharmaShots Interview: Sanofi's Laurent Debussche Shares Insight on the Need of SERDs for ER+ Breast Cancer,63216,09-08-2021,
PharmaShots Interview: Sierra Oncology’ Dr. Barbara Klencke Shares Insight on Sierra’s Agreement with AstraZeneca for AZD5153,65356,11-10-2021,
PharmaShots Interview: TFF's Dr. Dale Christensen Shares Insight on the Thin Film Freezing Technology,64522,15-09-2021,
PharmaShots Interview: Xencor's Bassil I. Dahiyat Shares Insight on the US FDA's Approval of COVID-19 Antibody Treatment Leveraging its Technology,63032,03-08-2021,
ViewPoints Article: 3D Bioprinting Represents a Huge Leap in the Pharmaceutical Industry,54342,04-01-2021,
ViewPoints Article: 5 Technologies That Are Reinventing Medicine,64753,23-09-2021,
ViewPoints Article: Adjunctive Nutraceutical Therapies Supporting Immunity in COVID-19,59391,28-04-2021,
ViewPoints Article: COVID-19 â€“ Where Does The Pharmaceutical Industry Go From Here?,49258,28-09-2020,
ViewPoints Article: Covid-19 Impact On Global Telemedicine Market,47572,20-07-2020,
ViewPoints Article: COVID-19 Treatment in India and Abroad,48508,15-09-2020,
ViewPoints Article: COVID-19 Vaccine Distribution the Next Supply Chain Frontier,45965,13-08-2020,
ViewPoints Article: Digital Biomarkers,53559,14-12-2020,
ViewPoints Article: Digital Healthcare in India - Current Trends & Future,49858,05-10-2020,
ViewPoints Article: Digital Revolution in Healthcare and Strategic Role of Medical Affairs Amidst Covid-19 Outbreak,36266,03-07-2020,
ViewPoints Article: Ethno-Pharma- An Emerging Sector,62599,21-07-2021,
ViewPoints Article: How Will the MedTech Industry Navigate The COVID-19 Impact?,35548,22-06-2020,
ViewPoints Article: Immunity &amp; Pregnancy: Unique and Complex,36674,13-07-2020,
ViewPoints Article: Medical Representatives Opinion Survey for Business Continuity with New Normal,46760,24-08-2020,
ViewPoints Article: Nutraceuticals Under Evaluation for COVID-19 Prevention and Treatment,61586,24-06-2021,
ViewPoints Article: Organs on a chip (OOCs) â€“ Transforming Animal Testing,52576,23-11-2020,
ViewPoints Article: Over Prescribed Medications and its Impact,63828,26-08-2021,
ViewPoints Article: Recent Insights into Advances of COVID-19 Treatment,60481,27-05-2021,
ViewPoints Article: Revised approach for First Aid during and after the Catastrophic Pandemic â€“ Safe and Saving,41401,12-08-2020,
ViewPoints Article: Role of Digital Technology in Improving Diagnosis,56478,23-02-2021,
ViewPoints Article: The New Normal and Covid-19 Vaccine Development,40716,05-10-2018,
ViewPoints Article: Virtual Clinical Trials - Are They the Future of India?,35919,25-06-2020,
ViewPoints Article: Wearables in the Market &amp; their Roles,55928,09-02-2021,
PharmaShots Interview: Abbott's Allen Burton Shares Insight on NeuroSphere myPath App,57378,15-03-2021,
PharmaShots Interview: Abbott's Neil Moat Shares Insights on the Next Generation TriClip Transcatheter Tricuspid Valve Repair System,60588,31-05-2021,
PharmaShots Interview: Aceto's Gilles Cottier Shares Insight on the Acquisition of A&amp;C and IsleChem,59849,11-05-2021,
