Title (News Shots) ,ID,Date
"PharmaShots Weekly Snapshots (August 27-September 01, 2018)",587,03-09-2018
"PharmaShots Weekly Snapshot (August 20-24, 2018)",608,27-08-2018
"PharmaShots Weekly Snapshot (September 03-07, 2018)",1281,07-09-2018
"PharmaShots Weekly Snapshot (September 10-15, 2018)",1596,17-09-2018
"PharmaShots Weekly Snapshot (September 17-21, 2018)",1972,24-09-2018
"PharmaShots Weekly Snapshot (September 24 - 29, 2018)",2313,01-10-2018
"PharmaShots Weekly Snapshot (01 Oct-06 Oct,2018)",2509,08-10-2018
"PharmaShots Weekly Snapshot (October 08 -12, 2018)",2672,15-10-2018
"PharmaShots Weekly Snapshot (October 15 - 20, 2018)",2773,22-10-2018
"PharmaShots Weekly Snapshot (29 Oct-03 Nov,2018)",3042,05-11-2018
"PharmaShots Weekly Snapshot (November 05 - 09 Nov, 2018)",3095,12-11-2018
"PharmaShots Weekly Snapshot (12 November 12 -17, 2018)",3209,19-11-2018
"PharmaShots Weekly Snapshot (November 19 - 23, 2018)",3364,26-11-2018
"PharmaShots Weekly Snapshot (November 24 - 29, 2018)",3577,03-12-2018
"PharmaShots Weekly Snapshot (December 03 - 07, 2018)",3812,10-12-2018
"PharmaShots Weekly Snapshot (January 07 -11, 2019)",3981,14-01-2019
"PharmaShots Weekly Snapshot (December 10 -15, 2018)",4032,16-12-2018
"PharmaShots Weekly Snapshot (January 14 -18, 2019)",5459,16-01-2019
"PharmaShots Weekly Snapshot (January 21 -25, 2019)",5899,28-01-2019
"PharmaShots Weekly Snapshot (January 28 - February 01, 2019)﻿",6244,04-02-2019
"PharmaShots Weekly Snapshot (February 04–08, 2019)",7857,11-02-2019
"﻿PharmaShots Weekly Snapshot ( February 11-15, 2019)",9461,18-02-2019
"PharmaShots Weekly Snapshot (February 18 - 22, 2019)",10422,25-02-2019
"PharmaShots Weekly Snapshot (February 25 - March 01,2019)",10886,04-03-2019
"PharmaShots Weekly Snapshot (March 04-08, 2019)﻿",11078,11-03-2019
"PharmaShots Weekly Snapshot (March 11-15, 2019)",11333,18-03-2019
"PharmaShots Weekly Snapshot (March 18-22, 2019)﻿",11640,25-03-2019
"PharmaShots Weekly Snapshot (March 25-29, 2019)﻿",11819,28-03-2019
"PharmaShots Weekly Snapshot (April 01-05, 2019)",12273,08-04-2019
"﻿PharmaShots Weekly Snapshot (April 08-12, 2019)",12615,15-04-2019
"PharmaShots Weekly Snapshot (April 15-19, 2019)",12866,22-04-2019
"PharmaShots Weekly Snapshot (April 22-26, 2019)",13563,29-04-2019
"PharmaShots Weekly Snapshot (April 29-May 03, 2019)",14055,06-05-2019
"PharmaShots Weekly Snapshot (May 06-10, 2019)",14355,13-05-2019
"﻿PharmaShots Weekly Snapshot (May 13–17, 2019)",14603,20-05-2019
"PharmaShots Weekly Snapshot (May 20-24, 2019)",14864,27-05-2019
"﻿PharmaShots Weekly Snapshot (May 27–31, 2019)",15118,03-06-2019
"PharmaShots Weekly Snapshot (June 03 – 07, 2019)",15600,10-06-2019
"PharmaShots Weekly Snapshot (June 10 – 14, 2019)",15911,17-06-2019
"﻿PharmaShots Weekly Snapshot (June 17 – 21, 2019)",16217,24-06-2019
"﻿PharmaShots Weekly Snapshot (June 24 – 28, 2019)",16448,01-07-2019
"PharmaShots Weekly Snapshot (July 01 – 05, 2019)",16942,08-07-2019
"PharmaShots Weekly Snapshot (July 08 – 12, 2019)",17000,15-07-2019
"﻿PharmaShots Weekly Snapshot (July 15– 19, 2019)",17383,22-07-2019
"PharmaShots Weekly Snapshot (July 22 – 26, 2019)",17670,29-07-2019
"PharmaShots Weekly Snapshot (July 29– August 02, 2019)﻿",18106,05-08-2019
"﻿PharmaShots Weekly Snapshot (August 05 - 09, 2019)",18510,12-08-2019
"PharmaShots Weekly Snapshot (August 12-16, 2019)",18797,19-08-2019
"PharmaShots Weekly Snapshot (August 19 – 23, 2019)",19298,26-08-2019
"PharmaShots Weekly Snapshot (September 02 – 06, 2019)",20104,09-09-2019
"PharmaShots Weekly Snapshot (September 09 – 13, 2019)﻿",20539,16-09-2019
"﻿PharmaShots Weekly Snapshot (September 16– 20, 2019)",20908,23-09-2019
"﻿PharmaShots Weekly Snapshot (September 23– 27, 2019)",21321,30-09-2019
"﻿PharmaShots Weekly Snapshot (September 30–October 04, 2019)",21689,07-10-2019
"﻿PharmaShots Weekly Snapshot (October 07-11, 2019)",22036,14-10-2019
"﻿PharmaShots Weekly Snapshot (October 14-18, 2019)",22347,21-10-2019
"PharmaShots Weekly Snapshot (October 21-25, 2019)",22730,29-10-2019
"PharmaShots Weekly Snapshot (October 28 - November 01, 2019)",22884,04-11-2019
