Title (News Shots) ,ID,Date
Merck Presents Results of Islatravir + Doravirine in P-IIb Clinical Trial for the Treatment of HIV-1 at EACS 2021,65863,27-10-2021
Teva Signs an Exclusive WW License Agreement with Modag to Develop Anle138b and Sery433 for Neurodegenerative Disease,65864,27-10-2021
PharmaShots Interview: Astellas’ Txema Sanz Shares Insights on the Evrenzo (roxadustat) for Symptomatic Anemia Associated with Chronic Kidney Disease,65879,27-10-2021
Alnylam Reports Results of Vutrisiran in P-III HELIOS-A Study for the Treatment of hATTR Amyloidosis with Polyneuropathy,65891,28-10-2021
Curacle Signs a License and Collaboration Agreement with Théa for Development and Commercialization of CU06-RE to treat Diabetic Macular Edema and Wet-AMD,65892,28-10-2021
Takeda to Acquire GammaDelta to Advance the Development of Allogeneic γδT Cell Therapies for the Treatment of Solid Tumors,65893,28-10-2021
Innovent Entered into a Collaboration Agreement with NeoCura to Evaluate Sintilimab + NEO_PLIN2101 for Cancer in China,65903,28-10-2021
Immunic Reports Completion of Patient Enrollment in P-II CALDOSE-1 Trial of IMU-838 for the Treatment of Ulcerative Colitis,65906,28-10-2021
Hutchmed Initiates P-III ESLIM-01 Trial of HMPL-523 for the Treatment of Immune Thrombocytopenia in China,65908,28-10-2021
Top 20 Generics Pharma Companies Based On 2020 Revenue,65918,28-10-2021
Kite's Tecartus (brexucabtagene autoleucel) Receives Health Canada’s Approval for the Treatment of Relapsed or Refractory Mantle Cell Lymphoma,65955,29-10-2021
Incyte Reports EMA’s Validation of MAA for Ruxolitinib Cream to Treat Vitiligo,65956,29-10-2021
AbbVie Reports Results of ABBV-951 (foslevodopa/foscarbidopa) in P-III M15-736 Study for the Treatment of Advanced Parkinson's Disease,65968,29-10-2021
Novartis Reports the US FDA and EMA’s Acceptance of sBLA for Kymriah (tisagenlecleucel) and Granted Priority Review to Treat R/R Follicular Lymphoma,65972,29-10-2021
Impact Receives US FDA’s IND Clearance for IMP9064 to Treat Solid Tumor,65976,29-10-2021
