id,old_id,created_at
6464,66572,19-11-2021 00:00
6465,NULL,19-11-2021 00:00
6466,NULL,25-11-2021 10:50
6467,NULL,25-11-2021 12:56
6468,NULL,25-11-2021 13:12
6469,NULL,25-11-2021 16:34
6470,NULL,25-11-2021 16:49
6471,NULL,25-11-2021 17:43
6472,NULL,25-11-2021 21:43
6473,NULL,26-11-2021 11:23
6475,NULL,26-11-2021 11:57
6476,NULL,26-11-2021 13:01
6477,NULL,26-11-2021 17:01
6478,NULL,26-11-2021 17:16
6479,NULL,26-11-2021 18:13
6480,NULL,26-11-2021 18:42
6481,NULL,29-11-2021 13:36
6483,NULL,29-11-2021 15:59
6484,NULL,29-11-2021 16:24
6485,NULL,29-11-2021 16:48
6486,NULL,29-11-2021 17:49
6487,NULL,29-11-2021 18:39
6489,NULL,29-11-2021 21:32
6490,NULL,30-11-2021 11:48
6491,NULL,30-11-2021 13:49
6492,NULL,30-11-2021 13:30
6493,NULL,30-11-2021 15:45
6494,NULL,30-11-2021 17:42
6495,NULL,30-11-2021 17:58
6496,NULL,30-11-2021 19:14
6497,NULL,01-12-2021 11:07
6498,NULL,01-12-2021 13:07
6499,NULL,01-12-2021 13:22
6500,NULL,01-12-2021 15:18
6501,NULL,03-11-2021 16:03
6502,NULL,01-12-2021 16:45
6503,NULL,01-12-2021 18:52
6504,NULL,01-12-2021 19:04
6505,NULL,02-12-2021 10:45
6506,NULL,02-12-2021 12:42
6507,NULL,02-12-2021 13:07
6508,NULL,16-11-2021 14:38
6509,NULL,02-11-2021 15:03
6510,NULL,04-11-2021 15:26
6511,NULL,08-11-2021 15:40
6512,NULL,02-12-2021 15:04
6513,NULL,02-12-2021 16:27
6514,NULL,11-11-2021 15:52
6515,NULL,02-12-2021 17:50
6516,NULL,02-12-2021 18:47
6517,NULL,03-12-2021 12:41
6518,NULL,03-12-2021 13:15
6519,NULL,03-12-2021 13:47
6520,NULL,03-12-2021 15:54
6521,NULL,03-12-2021 16:17
6522,NULL,03-12-2021 17:50
6523,NULL,03-12-2021 19:05
6524,NULL,06-12-2021 10:31
6525,NULL,06-12-2021 12:24
6526,NULL,06-12-2021 13:20
6527,NULL,06-12-2021 15:22
6528,NULL,06-12-2021 15:51
6529,NULL,06-12-2021 18:01
6530,NULL,06-12-2021 19:31
6531,NULL,07-12-2021 10:59
6532,NULL,07-12-2021 11:35
6533,NULL,07-12-2021 13:34
6534,NULL,07-12-2021 14:02
6535,NULL,07-12-2021 16:48
6536,NULL,07-12-2021 16:56
6537,NULL,07-12-2021 18:46
6538,NULL,08-12-2021 10:50
6539,NULL,08-12-2021 11:35
6540,NULL,08-12-2021 12:44
6541,NULL,08-12-2021 15:35
6542,NULL,08-12-2021 15:46
6543,NULL,08-12-2021 16:34
6544,NULL,08-12-2021 18:55
6545,NULL,09-12-2021 11:44
6546,NULL,09-12-2021 11:58
6547,NULL,09-12-2021 12:54
6548,NULL,09-12-2021 14:08
6549,NULL,09-12-2021 15:25
6550,NULL,09-12-2021 17:00
6551,NULL,09-12-2021 18:43
6552,NULL,10-12-2021 11:27
6553,NULL,10-12-2021 13:11
6554,NULL,10-12-2021 13:37
6555,NULL,10-12-2021 15:28
6556,NULL,10-12-2021 16:46
6557,NULL,10-12-2021 16:57
6558,NULL,10-12-2021 18:50
6559,NULL,13-12-2021 10:32
6560,NULL,13-12-2021 11:42
6561,NULL,13-12-2021 12:50
6562,NULL,13-12-2021 13:57
6563,NULL,13-12-2021 15:22
6564,NULL,13-12-2021 16:57
6565,NULL,13-12-2021 19:01
6579,NULL,14-12-2021 10:29
6600,NULL,14-12-2021 11:07
6601,NULL,14-12-2021 12:52
6602,NULL,14-12-2021 14:02
6603,NULL,14-12-2021 15:46
6604,NULL,14-12-2021 17:48
6605,NULL,14-12-2021 18:50
6606,NULL,15-12-2021 10:38
6607,NULL,15-12-2021 11:20
6608,NULL,15-12-2021 12:18
6609,NULL,15-12-2021 14:00
6610,NULL,15-12-2021 16:30
6611,NULL,15-12-2021 17:06
6612,NULL,15-12-2021 18:57
6613,NULL,08-11-2021 11:38
6614,NULL,18-11-2021 11:42
6615,NULL,29-11-2021 11:47
6616,NULL,19-11-2021 11:49
6617,NULL,16-12-2021 11:15
6618,NULL,16-12-2021 11:54
6620,NULL,16-12-2021 13:20
6621,NULL,16-12-2021 13:54
6622,NULL,16-12-2021 16:00
6623,NULL,05-11-2021 16:55
6624,NULL,16-12-2021 16:58
6625,NULL,16-12-2021 18:57
6626,NULL,17-12-2021 10:19
6627,NULL,17-12-2021 11:16
6628,NULL,17-12-2021 12:26
6629,NULL,17-12-2021 15:21
6630,NULL,17-12-2021 15:19
6631,NULL,17-12-2021 17:14
6632,NULL,17-12-2021 18:41
6633,NULL,20-12-2021 11:08
6634,NULL,20-12-2021 11:23
6635,NULL,20-12-2021 13:13
6636,NULL,20-12-2021 13:35
6637,NULL,20-12-2021 16:09
6638,NULL,20-12-2021 17:27
6639,NULL,20-12-2021 18:51
6640,NULL,21-12-2021 10:42
6641,NULL,21-12-2021 12:07
6642,NULL,21-12-2021 12:16
6643,NULL,21-12-2021 13:54
6644,NULL,21-12-2021 15:52
6645,NULL,21-12-2021 16:32
6646,NULL,21-12-2021 18:50
6647,NULL,22-12-2021 10:40
6648,NULL,22-12-2021 11:27
6649,NULL,22-12-2021 12:24
6650,NULL,22-12-2021 15:52
6651,NULL,22-12-2021 13:28
6652,NULL,22-12-2021 16:34
6653,NULL,22-12-2021 18:35
6654,NULL,23-12-2021 12:58
6655,NULL,23-12-2021 13:06
