id,slug2,created_at,,,,,,
1,celyad-successfully-doses-first-colorectal-cancer-patient-with-cyad-01-following-preconditioning-chemotherapy,05-09-2018 00:00,,,,,,
2,dynavax-announces-publication-of-preclinical-study-of-tlr9-agonist-in-lung-cancer,05-09-2018 00:00,,,,,,
3,janssen-submits-esketamine-nasal-spray-new-drug-application-to-us-fda-for-treatment-resistant-depression,05-09-2018 00:00,,,,,,
4,fda-grants-priority-review-to-mercks-supplemental-biologics-license-application-for-keytruda-pembrolizumab-for-the-treatment-of-merkel-cell-carcinoma-a-rare-form-of-skin-cancer,04-09-2018 00:00,,,,,,
5,redx-pharma-announces-way-forward-for-rxc004,04-09-2018 00:00,,,,,,
6,boehringer-ingelheim-biopharmaceuticals-china-supports-beigene-in-its-china-nda-submission-of-anti-pd-1-antibody-tislelizumab,04-09-2018 00:00,,,,,,
7,novellusdx-and-primetech-sign-agreement-with-japan-agency,04-09-2018 00:00,,,,,,
8,cablivi-caplacizumab-approved-in-europe-for-adults-with-acquired-thrombotic-thrombocytopenic-purpura-attp,03-09-2018 00:00,,,,,,
9,a-group-of-dutch-doctors-and-health-advocates-are-taking-action-against-the-italian-pharmaceutical-firm-leadiant-biosciences-who-have-increased-the-price-of-a-lifesaving-drug-by-500-times-its-original-price,03-09-2018 00:00,,,,,,
10,novartis-to-streamline-production-in-response-to-lower-us-prices-nzz-am-sonntag,03-09-2018 00:00,,,,,,
11,pfizer-terminates-domagrozumab-pf-06252616-clinical-studies-for-the-treatment-of-duchenne-muscular-dystrophy,31-08-2018 00:00,,,,,,
12,update-on-tulip-1-phase-iii-trial-for-anifrolumab-in-systemic-lupus-erythematosus,31-08-2018 00:00,,,,,,
13,newly-added-guidance-documents,31-08-2018 00:00,,,,,,
14,vertex-and-genomics-plc-establish-collaboration-to-use-human-genetics-and-data-science-to-advance-discovery-of-precision-medicines,31-08-2018 00:00,,,,,,
15,us-food-and-drug-administration-accepts-bristol-myers-squibbs-application-for-sprycel-dasatinib-in-pediatric-patients-with-newly-diagnosed-philadelphia-chromosome-positive-acute-lymphoblastic-leukemia,30-08-2018 00:00,,,,,,
16,european-commission-approves-new-easy-to-use-once-weekly-bydureon-bcise-device-for-patients-with-type-2-diabetes,30-08-2018 00:00,,,,,,
17,positive-phase-iii-results-for-roches-hemlibra-for-haemophilia-a-without-factor-viii-inhibitors-published-in-new-england-journal-of-medicine,30-08-2018 00:00,,,,,,
18,"european-commission-approves-blincyto-blinatumomab-for-use-in-pediatric-patients-with-philadelphia-chromosome-negative-relapsed-or-refractory-b-cell-precursor-acute-lymphoblastic-leukemia
-",30-08-2018 00:00,,,,,,
19,xenon-announces-positive-xen1101-pharmacodynamic-data-from-phase-1b-tms-study,29-08-2018 00:00,,,,,,
20,emergent-biosolutions-joins-effort-to-combat-national-public-health-threat-from-opioid-overdose-through-acquisition-of-adapt-pharma-and-its-flagship-product-narcan-naloxone-hcl-nasal-spray,29-08-2018 00:00,,,,,,
21,alcon-announces-voluntary-global-market-withdrawal-of-cypass-micro-stent-for-surgical-glaucoma,29-08-2018 00:00,,,,,,
22,feedback-encouraged-to-allow-use-of-life-extending-treatment-on-nhs-for-those-with-blood-cancer,29-08-2018 00:00,,,,,,
23,biogen-and-eisai-report-data-from-long-term-extension-phase-1b-study-of-investigational-alzheimers-disease-treatment-aducanumab,28-08-2018 00:00,,,,,,
24,affimed-announces-collaboration-with-genentech-to-develop-novel-nk-cell-engager-based-immunotherapeutics-for-multiple-cancer-targets,28-08-2018 00:00,,,,,,
25,tafamidis-phase-3-transthyretin-amyloid-cardiomyopathy-attr-act-study-results-presented-as-late-breaking-data-at-the-esc-congress-2018,28-08-2018 00:00,,,,,,
26,abbvie-announces-imbruvica-ibrutinib-plus-rituximab-approval-by-us-fda-as-first-chemotherapy-free-combination-treatment-in-adults-with-waldenstrms-macroglobulinemia-a-rare-type-of-blood-cancer,28-08-2018 00:00,,,,,,
27,novartis-receives-european-commission-approval-of-its-car-t-cell-therapy-kymriah-tisagenlecleucel,27-08-2018 00:00,,,,,,
28,abbott-india-lines-up-100-product-launches-over-the-next-5-years,27-08-2018 00:00,,,,,,
29,yescarta-receives-european-marketing-authorization-for-treatment-of-relapsed-or-refractory-dlbcl-and-pmbc,27-08-2018 00:00,,,,,,
30,european-commission-grants-marketing-authorization-for-lenvima-lenvatinib-as-first-line-treatment-in-adults-with-advanced-or-unresectable-hepatocellular-carcinoma,25-08-2018 00:00,,,,,,
